IchigoJam R,QFP48,QFN36,5V tolerant,function1,function2,function3,function4,function5,function6,function7
-,1,,,VBAT,,,,,,
*,2,,,PC13,TAMPER-RTC,,,,,
*,3,,,PC14,OSC32IN,,,,,
*,4,,,PC15,OSC32OUT,,,,,
XTAL 8MHz,5,2,,OSCIN,PD0,,,,,
XTAL 8MHz,6,3,,OSCOUT,PD1,,,,,
RESET,7,4,,NRST,,,,,,
GND,8,5,,VSSA,,,,,,
VCC,9,6,,VDDA,,,,,,
BTN,10,7,,PA0,WKUP,USART1_CTS,ADC01_IN0,TIMER1_CH0_ETI,TIMER4_CH0,
IN1,11,8,,PA1,USART1_RTS,ADC01_IN1,TIMER4_CH1,TIMER1_CH1,,
OUT5,12,9,,PA2,USART1_TX,TIMER4_CH2,ADC01_IN2,TIMER1_CH2,,
OUT6,13,10,,PA3,USART1_RX,TIMER4_CH3,ADC01_IN3,TIMER1_CH3,,
IN2,14,11,,PA4,SPI0_NSS,USART1_CK,ADC01_IN4,DAC_OUT0,SPI2_NSS,I2S2_WS
IN3,15,12,,PA5,SPI0_SCK,ADC01_IN5,DAC_OUT1,,,
IN4,16,13,,PA6,SPI0_MISO,ADC01_IN6,TIMER2_CH0,TIMER0_BRKIN,,
OUT2,17,14,,PA7,SPI0_MOSI,ADC01_IN7,TIMER2_CH1,TIMER0_CH0_ON,,
OUT3,18,15,,PB0,ADC01_IN8,TIMER2_CH2,TIMER0_CH1_ON,,,
OUT4,19,16,,PB1,ADC01_IN9,TIMER2_CH3,TIMER0_CH2_ON,,,
(EX1),20,17,5VT,PB2,BOOT1,,,,,
*,21,,5VT,PB10,I2C1_SCL,USART2_TX,TIMER1_CH2,,,
*,22,,5VT,PB11,I2C1_SDA,USART2_RX,TIMER1_CH3,,,
GND,23,18,,VSSA,,,,,,
VCC,24,19,,VDDA,,,,,,
*,25,,5VT,PB12,SPI1_NSS,I2S1_WS,I2C1_SMBA,USART2_CK,TIMER0_BRKIN,CAN1_RX
*,26,,5VT,PB13,SPI1_SCK,I2S1_CK,USART2_CTS,TIMER0_CH0_ON,CAN1_TX,
*,27,,5VT,PB14,SPI1_MISO,USART2_RTS,TIMER0_CH1_ON,,,
*,28,,5VT,PB15,SPI1_MOSI,TIMER0_CH2_ON,I2S1_SD,,,
OUT1,29,20,5VT,PA8,USART0_CK,TIMER0_CH0,CK_OUT0,USBFS_SOF,,
TXD,30,21,5VT,PA9,USART0_TX,TIMER0_CH1,USBFS_VBUS,,,
RXD,31,22,5VT,PA10,USART0_RX,TIMER0_CH2,USBFS_ID,,,
KBD1,32,23,5VT,PA11,USART0_CTS,CAN0_RX,TIMER0_CH3,USBFS_DM,,
KBD2,33,24,5VT,PA12,USART0_RTS,CAN0_TX,TIMER0_ETI,,,
DC,34,25,5VT,JTMS,PA13,,,,,
GND,35,26,,VSS,,,,,,
VCC,36,27,,VDD,,,,,,
LED,37,28,5VT,JTCK,PA14,,,,,
SOUND,38,29,5VT,JTDI,SPI2_NSS,I2S2_WS,TIMER1_CH0_ETI,PA15,SPI0_NSS,
SCK,39,30,5VT,JTDO,SPI2_SCK,I2S2_CK,PB3,TIMER1_CH1,SPI0_SCK,
VIDEO1/CIPO,40,31,5VT,NJTRST,SPI2_MISO,TIMER2_CH0,PB4,SPI0_SCK,,
VIDEO2/COPI,41,32,,PB5,I2C0_SMBA,SPI2_MOSI,I2S2_SD,TIMER2_CH1,SPI0_MOSI,CAN1_TX
SCL,42,33,5VT,PB6,I2C0_SCL,TIMER3_CH0,USART0_TX,CAN1_TX,,
SDA,43,34,5VT,PB7,I2C0_SDA,TIMER3_CH1,USART0_RX,,,
ISP,44,35,,BOOT0,,,,,,
*,45,,5VT,PB8,TIMER3_CH2,I2C0_SCL,CAN0_RX,,,
*,46,,5VT,PB9,TIMER3_CH3,I2C0_SDA,CAN0_TX,,,
GND,47,36,,VSS,,,,,,
VCC,48,1,,VDD,,,,,,